INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Tosun, Adriana",CAT 125 - Public Rhetoric & Prac Comm (016),WI24,"20
(70.00%)",3.87 (A-),3.57,4.43,4.52,4.62
"Tosun, Adriana",CAT 125 - Public Rhetoric & Prac Comm (017),WI24,"20
(80.00%)",3.86 (A-),3.25,4.45,4.28,4.59
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (018),WI24,"19
(26.32%)",3.71 (A-),3.80,4.05,4.05,4.45
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (019),WI24,"19
(52.63%)",3.72 (A-),4.11,4.05,4.03,4.30
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (020),WI24,"19
(31.58%)",3.91 (A-),3.67,4.79,4.75,4.92
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (A00),FA23,"20
(75.00%)",3.36 (B+),6.00,3.72,3.63,4.33
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (B00),FA23,"19
(42.11%)",3.71 (A-),5.00,4.09,4.00,4.29
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (C00),FA23,"17
(82.35%)",3.79 (A-),5.00,4.36,4.31,4.59
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (D00),FA23,"20
(15.00%)",3.74 (A-),5.00,4.17,4.36,4.58
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (E00),FA23,"20
(30.00%)",3.86 (A-),5.00,4.21,4.08,4.50
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (F00),FA23,"20
(35.00%)",3.26 (B),5.71,3.71,3.57,3.89
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (G00),FA23,"19
(42.11%)",3.69 (B+),5.00,4.14,4.30,4.50
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (H00),FA23,"20
(55.00%)",3.62 (B+),5.91,4.50,4.47,4.61
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (I00),FA23,"19
(78.95%)",3.91 (A-),5.67,4.50,4.63,4.75
"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (J00),FA23,"20
(40.00%)",3.88 (A-),5.00,4.72,4.81,4.63
"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (K00),FA23,"20
(50.00%)",3.88 (A-),5.00,4.68,4.86,4.83
"Tosun, Adriana",CAT 125 - Public Rhetoric & Prac Comm (L00),FA23,"20
(80.00%)",3.79 (A-),4.69,4.36,4.31,4.63
"Tosun, Adriana",CAT 125 - Public Rhetoric & Prac Comm (M00),FA23,"20
(90.00%)",3.81 (A-),5.00,4.44,4.49,4.81
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (N00),FA23,"20
(30.00%)",3.94 (A-),5.83,3.67,3.54,3.78
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (O00),FA23,"20
(50.00%)",3.73 (A-),5.00,4.05,4.10,4.55
"Irwin, Matthew Joseph",CAT 125 - Public Rhetoric & Prac Comm (P00),FA23,"19
(57.89%)",3.61 (B+),5.91,3.84,4.09,4.40
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (Q00),FA23,"20
(90.00%)",3.93 (A-),5.56,4.57,4.51,4.56
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (R00),FA23,"20
(75.00%)",3.76 (A-),5.33,4.47,4.75,4.90
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (A00),S223,"20
(55.00%)",3.92 (A-),5.45,4.67,4.84,4.89
"Delaville, Romain",CAT 125 - Public Rhetoric & Prac Comm (A00),S123,"17
(29.41%)",3.81 (A-),7.00,3.90,4.15,4.10
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (C00),S123,"19
(31.58%)",3.69 (B+),5.83,4.58,4.75,4.88
