INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Gilbert, Peter W",AWP 3 - Analytical Writing (015),FA23,"14
(85.71%)",2.81 (B-),7.08,4.40,4.56,4.83
"Heiser, Jerrod A",AWP 3 - Analytical Writing (019),FA23,"14
(85.71%)",3.68 (B+),7.50,4.60,4.52,4.71
"Zimmerman, Guy",AWP 3 - Analytical Writing (020),FA23,"15
(86.67%)",3.00 (B),7.31,3.95,3.86,4.09
"Heiser, Jerrod A",AWP 3 - Analytical Writing (022),FA23,"14
(71.43%)",3.20 (B),7.50,4.60,4.71,4.75
"Heiser, Jerrod A",AWP 3 - Analytical Writing (023),FA23,"14
(78.57%)",3.48 (B+),6.82,4.68,4.66,4.82
"Sartor, Alexandra",AWP 3 - Analytical Writing (025),FA23,"14
(92.86%)",3.44 (B+),7.31,4.69,4.69,4.75
"Sartor, Alexandra",AWP 3 - Analytical Writing (026),FA23,"15
(93.33%)",3.46 (B+),6.43,4.39,4.58,4.77
"Christie, Veronica Ann",AWP 3 - Analytical Writing (027),FA23,"15
(86.67%)",2.67 (C+),6.54,4.44,4.63,4.73
"Christie, Veronica Ann",AWP 3 - Analytical Writing (029),FA23,"13
(100.00%)",3.38 (B+),6.15,4.31,4.44,4.77
"Christie, Veronica Ann",AWP 3 - Analytical Writing (030),FA23,"14
(100.00%)",3.49 (B+),6.43,4.70,4.79,4.88
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (031),FA23,"15
(100.00%)",3.09 (B),7.00,4.22,4.36,4.64
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (032),FA23,"14
(100.00%)",2.89 (B-),8.21,4.27,4.39,4.59
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (034),FA23,"14
(92.86%)",3.36 (B+),8.08,4.77,4.77,4.96
"Steinberg, Stacy A",AWP 3 - Analytical Writing (035),FA23,"14
(100.00%)",3.12 (B),7.14,4.55,4.64,4.76
"Steinberg, Stacy A",AWP 3 - Analytical Writing (036),FA23,"14
(85.71%)",3.15 (B),5.42,4.71,4.77,4.87
"Falcon, Jennifer A",AWP 3 - Analytical Writing (037),FA23,"14
(92.86%)",2.82 (B-),6.92,4.63,4.62,4.75
"Falcon, Jennifer A",AWP 3 - Analytical Writing (038),FA23,"13
(100.00%)",3.03 (B),8.08,4.35,4.44,4.71
"Falcon, Jennifer A",AWP 3 - Analytical Writing (040),FA23,"14
(100.00%)",3.16 (B),6.79,4.70,4.66,4.84
"O'Neil, Courtney L",AWP 3 - Analytical Writing (043),FA23,"15
(80.00%)",2.96 (B-),6.67,4.64,4.65,4.64
"O'Neil, Courtney L",AWP 3 - Analytical Writing (044),FA23,"14
(92.86%)",3.72 (A-),8.08,4.60,4.75,4.88
"Spicer, Jacqueline",AWP 3 - Analytical Writing (045),FA23,"14
(100.00%)",2.66 (C+),5.36,4.25,4.35,4.60
"O'Neil, Courtney L",AWP 3 - Analytical Writing (046),FA23,"13
(76.92%)",3.08 (B),8.00,4.36,4.53,4.55
"Spicer, Jacqueline",AWP 3 - Analytical Writing (047),FA23,"15
(80.00%)",2.49 (C+),6.25,4.08,4.47,4.60
"Spicer, Jacqueline",AWP 3 - Analytical Writing (048),FA23,"13
(76.92%)",2.16 (C),7.00,3.98,4.40,4.63
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (049),FA23,"14
(92.86%)",3.34 (B+),8.08,4.27,4.29,4.50
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (050),FA23,"13
(84.62%)",3.20 (B),6.36,4.51,4.45,4.73
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (051),FA23,"15
(93.33%)",3.43 (B+),7.86,4.44,4.54,4.57
"Tsurska Svetina, Olena",AWP 3 - Analytical Writing (052),FA23,"13
(92.31%)",3.48 (B+),7.92,4.67,4.66,4.83
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (053),FA23,"14
(100.00%)",3.41 (B+),7.86,4.32,4.37,4.55
"Chandler, Bailee Daniele",AWP 3 - Analytical Writing (054),FA23,"12
(91.67%)",3.48 (B+),7.27,4.50,4.59,4.89
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (055),FA23,"15
(93.33%)",2.68 (C+),7.50,4.50,4.48,4.64
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (056),FA23,"14
(100.00%)",3.11 (B),6.43,4.68,4.61,4.73
"Zroka, Amy Liane",AWP 3 - Analytical Writing (057),FA23,"15
(73.33%)",3.25 (B),7.73,4.25,4.20,4.73
"Ajo, Frances Margaret",AWP 3 - Analytical Writing (058),FA23,"14
(100.00%)",3.13 (B),5.71,4.48,4.69,4.75
"Zroka, Amy Liane",AWP 3 - Analytical Writing (059),FA23,"14
(64.29%)",2.81 (B-),6.67,4.61,4.61,4.89
"Zroka, Amy Liane",AWP 3 - Analytical Writing (060),FA23,"13
(69.23%)",2.93 (B-),8.33,4.64,4.42,4.78
"Grant, Melinda G",AWP 3 - Analytical Writing (061),FA23,"14
(92.86%)",2.89 (B-),7.31,4.63,4.63,4.75
"Grant, Melinda G",AWP 3 - Analytical Writing (062),FA23,"14
(92.86%)",3.11 (B),7.31,4.56,4.63,4.85
"Kolodezh, Samuel",AWP 3 - Analytical Writing (063),FA23,"15
(86.67%)",2.81 (B-),8.08,4.42,4.54,4.75
"Grant, Melinda G",AWP 3 - Analytical Writing (064),FA23,"13
(92.31%)",3.24 (B),8.75,4.60,4.81,4.98
"Kolodezh, Samuel",AWP 3 - Analytical Writing (065),FA23,"14
(92.86%)",2.89 (B-),7.31,4.31,4.31,4.60
"Kolodezh, Samuel",AWP 3 - Analytical Writing (066),FA23,"14
(71.43%)",3.24 (B),8.00,4.58,4.53,4.90
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (067),FA23,"14
(92.86%)",3.31 (B+),6.92,4.69,4.77,4.87
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (068),FA23,"14
(92.86%)",3.22 (B),6.54,4.65,4.71,4.98
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (069),FA23,"14
(92.86%)",3.21 (B),6.92,4.46,4.54,4.62
"Setoda, Kayleigh Kumiko",AWP 3 - Analytical Writing (070),FA23,"15
(100.00%)",2.99 (B-),7.00,4.60,4.67,4.90
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (072),FA23,"14
(78.57%)",2.58 (C+),7.27,4.27,4.31,4.45
"Jones, William Jadie",AWP 3 - Analytical Writing (073),FA23,"13
(100.00%)",3.42 (B+),7.31,4.63,4.54,4.84
"Jones, William Jadie",AWP 3 - Analytical Writing (074),FA23,"14
(85.71%)",2.63 (C+),7.92,4.40,4.51,4.81
"Hall, Graham T",AWP 3 - Analytical Writing (075),FA23,"13
(61.54%)",3.63 (B+),7.50,4.41,4.53,4.69
"Jones, William Jadie",AWP 3 - Analytical Writing (076),FA23,"13
(100.00%)",3.44 (B+),8.85,4.55,4.60,4.69
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (077),FA23,"14
(92.86%)",3.48 (B+),6.54,4.38,4.47,4.52
"Vaughn, Kelsey Sara",AWP 3 - Analytical Writing (078),FA23,"14
(78.57%)",3.22 (B),6.82,3.98,4.24,4.53
"West, Geoffrey Scott",AWP 3 - Analytical Writing (079),FA23,"14
(64.29%)",2.44 (C+),7.22,4.44,4.50,4.69
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (081),FA23,"14
(64.29%)",2.81 (B-),7.22,4.47,4.44,4.58
"Tiernan, Christa Michelle",AWP 3 - Analytical Writing (082),FA23,"14
(92.86%)",2.84 (B-),6.15,4.71,4.71,4.75
"Hall, Graham T",AWP 3 - Analytical Writing (083),FA23,"12
(91.67%)",3.17 (B),8.18,4.57,4.66,4.68
"Hall, Graham T",AWP 3 - Analytical Writing (084),FA23,"14
(92.86%)",2.70 (B-),7.31,4.40,4.45,4.63
"Zimmerman, Guy",AWP 3 - Analytical Writing (085),FA23,"13
(69.23%)",2.43 (C+),7.78,4.22,4.17,4.42
